function,dimension,mu,lambda,strategy,run,best_fitness,generations,function_evals,time,converged
sphere,10,15,100,comma,1,8.811657646854425e-07,65,6515,0.048532962799072266,True
sphere,10,15,100,comma,2,3.2678455077397345e-07,67,6715,0.04703092575073242,True
sphere,10,15,100,comma,3,6.510217669023784e-07,68,6815,0.07299304008483887,True
sphere,10,15,100,comma,4,9.845205979212177e-07,62,6215,0.044541120529174805,True
sphere,10,15,100,comma,5,6.9197297281866e-07,68,6815,0.04824495315551758,True
sphere,10,15,100,comma,6,9.937454162193084e-07,68,6815,0.04710197448730469,True
sphere,10,15,100,comma,7,8.420238635652283e-07,66,6615,0.0453181266784668,True
sphere,10,15,100,comma,8,8.164961939264664e-07,67,6715,0.046552181243896484,True
sphere,10,15,100,comma,9,8.873110936220152e-07,63,6315,0.04399394989013672,True
sphere,10,15,100,comma,10,8.210287665790826e-07,67,6715,0.046608924865722656,True
sphere,10,15,100,comma,11,9.747092788113684e-07,67,6715,0.04615497589111328,True
sphere,10,15,100,comma,12,9.690734983711698e-07,67,6715,0.046038150787353516,True
sphere,10,15,100,comma,13,7.293007673860402e-07,71,7115,0.05033230781555176,True
sphere,10,15,100,comma,14,8.722516565827599e-07,68,6815,0.048895835876464844,True
sphere,10,15,100,comma,15,7.564142591797994e-07,66,6615,0.04752683639526367,True
sphere,10,15,100,comma,16,6.94600528515529e-07,64,6415,0.045471906661987305,True
sphere,10,15,100,comma,17,9.122442458309946e-07,66,6615,0.046051025390625,True
sphere,10,15,100,comma,18,9.384879855721095e-07,61,6115,0.04204201698303223,True
sphere,10,15,100,comma,19,9.524860002260237e-07,66,6615,0.04579782485961914,True
sphere,10,15,100,comma,20,7.520672191045336e-07,62,6215,0.04335379600524902,True
sphere,10,15,100,comma,21,6.08016359951376e-07,68,6815,0.048341989517211914,True
sphere,10,15,100,comma,22,6.557174091912348e-07,64,6415,0.04600071907043457,True
sphere,10,15,100,comma,23,6.677730728446592e-07,66,6615,0.04816579818725586,True
sphere,10,15,100,comma,24,9.743005725580165e-07,63,6315,0.04548501968383789,True
sphere,10,15,100,comma,25,9.759142130808883e-07,71,7115,0.05147099494934082,True
sphere,10,15,100,comma,26,8.036088214059722e-07,62,6215,0.0451509952545166,True
sphere,10,15,100,comma,27,9.404067049025216e-07,67,6715,0.04825878143310547,True
sphere,10,15,100,comma,28,8.593979105683642e-07,63,6315,0.04531407356262207,True
sphere,10,15,100,comma,29,8.480057333455665e-07,60,6015,0.0426480770111084,True
sphere,10,15,100,comma,30,8.819241720728815e-07,65,6515,0.04726004600524902,True
sphere,10,15,100,plus,1,9.845981756573654e-07,58,5815,0.04210996627807617,True
sphere,10,15,100,plus,2,6.845316907094224e-07,62,6215,0.04361987113952637,True
sphere,10,15,100,plus,3,4.864009860286768e-07,57,5715,0.041287899017333984,True
sphere,10,15,100,plus,4,9.104531921199869e-07,61,6115,0.043519020080566406,True
sphere,10,15,100,plus,5,7.9329319545691e-07,62,6215,0.04380393028259277,True
sphere,10,15,100,plus,6,7.224587817572191e-07,66,6615,0.046672821044921875,True
sphere,10,15,100,plus,7,6.716740304682267e-07,69,6915,0.048454999923706055,True
sphere,10,15,100,plus,8,8.278602331040618e-07,62,6215,0.043206214904785156,True
sphere,10,15,100,plus,9,6.50792937791952e-07,60,6015,0.04246401786804199,True
sphere,10,15,100,plus,10,8.02880972828235e-07,67,6715,0.04743599891662598,True
sphere,10,15,100,plus,11,9.280240520221321e-07,60,6015,0.04319500923156738,True
sphere,10,15,100,plus,12,8.299054894846262e-07,62,6215,0.04336905479431152,True
sphere,10,15,100,plus,13,7.318941102469814e-07,61,6115,0.04293990135192871,True
sphere,10,15,100,plus,14,9.74569095603861e-07,68,6815,0.04653501510620117,True
sphere,10,15,100,plus,15,7.723025799312678e-07,59,5915,0.040199995040893555,True
sphere,10,15,100,plus,16,9.98524568242671e-07,61,6115,0.04197192192077637,True
sphere,10,15,100,plus,17,8.068789774431325e-07,65,6515,0.04573512077331543,True
sphere,10,15,100,plus,18,7.610642742324795e-07,64,6415,0.04559493064880371,True
sphere,10,15,100,plus,19,8.539628998061219e-07,61,6115,0.04305005073547363,True
sphere,10,15,100,plus,20,7.91047308044468e-07,64,6415,0.045272111892700195,True
sphere,10,15,100,plus,21,5.889451790787362e-07,63,6315,0.04456973075866699,True
sphere,10,15,100,plus,22,9.67347270143863e-07,64,6415,0.04566502571105957,True
sphere,10,15,100,plus,23,9.300485432187409e-07,61,6115,0.04350590705871582,True
sphere,10,15,100,plus,24,5.37258350930901e-07,62,6215,0.04402875900268555,True
sphere,10,15,100,plus,25,6.045386483101368e-07,62,6215,0.044499874114990234,True
sphere,10,15,100,plus,26,6.564741409180129e-07,66,6615,0.04689908027648926,True
sphere,10,15,100,plus,27,7.575368762641939e-07,66,6615,0.046894073486328125,True
sphere,10,15,100,plus,28,9.856223650890796e-07,59,5915,0.04195809364318848,True
sphere,10,15,100,plus,29,9.370981318629039e-07,63,6315,0.044384002685546875,True
sphere,10,15,100,plus,30,6.757483154028468e-07,62,6215,0.0429692268371582,True
sphere,20,15,100,comma,1,9.10086707087259e-07,129,12915,0.0934290885925293,True
sphere,20,15,100,comma,2,9.540725017845452e-07,145,14515,0.10553812980651855,True
sphere,20,15,100,comma,3,9.663838315800275e-07,140,14015,0.10083508491516113,True
sphere,20,15,100,comma,4,8.76562985113123e-07,133,13315,0.1093902587890625,True
sphere,20,15,100,comma,5,9.96308073615148e-07,135,13515,0.09471917152404785,True
sphere,20,15,100,comma,6,9.754909923485373e-07,150,15015,0.10396170616149902,True
sphere,20,15,100,comma,7,8.612462623220648e-07,140,14015,0.09719610214233398,True
sphere,20,15,100,comma,8,8.072370464608025e-07,140,14015,0.09685993194580078,True
sphere,20,15,100,comma,9,8.767738624804651e-07,142,14215,0.10001492500305176,True
sphere,20,15,100,comma,10,9.987495930500832e-07,141,14115,0.1008307933807373,True
sphere,20,15,100,comma,11,9.906938911770755e-07,140,14015,0.1008310317993164,True
sphere,20,15,100,comma,12,8.792782292704576e-07,142,14215,0.10209798812866211,True
