,,,best_fitness,best_fitness,best_fitness,function_evals,function_evals,time,time,converged,converged
,,,mean,std,min,mean,std,mean,std,sum,mean
function,dimension,strategy,,,,,,,,,
rastrigin,10,L-BFGS-B,70.044681,22.792811,38.80314,207.533333,50.510315,0.00242,0.000572,0,0.0
rastrigin,10,comma,33.098855,11.023515,11.939499,70020.0,0.0,0.599331,0.015202,0,0.0
rastrigin,10,plus,35.453578,10.469373,19.899141,70020.0,0.0,0.597491,0.014045,0,0.0
rastrigin,20,L-BFGS-B,132.428301,31.781886,93.525777,402.5,77.813105,0.003954,0.000778,0,0.0
rastrigin,20,comma,88.020326,19.496504,49.747862,100030.0,0.0,0.859983,0.021664,0,0.0
sphere,10,L-BFGS-B,0.0,0.0,0.0,39.233333,5.544076,0.00057,0.000503,30,1.0
sphere,10,comma,1e-06,0.0,0.0,6465.0,317.044542,0.044315,0.002414,30,1.0
sphere,10,plus,1e-06,0.0,1e-06,6281.666667,297.499155,0.04291,0.00242,30,1.0
sphere,20,L-BFGS-B,0.0,0.0,0.0,74.2,10.655742,0.000678,0.00011,30,1.0
sphere,20,comma,1e-06,0.0,1e-06,13388.333333,487.734618,0.094106,0.004614,30,1.0
